# FM.B.U2.EUR.4F.KR.MLFR.LEV UNIT= provided by ECB" UNIT_MULT= n=68
TIME_PERIOD,OBS_VALUE
1999-01-01,4.5
1999-01-04,3.25
1999-01-22,4.5
1999-04-09,3.5
1999-11-05,4
2000-02-04,4.25
2000-03-17,4.5
2000-04-28,4.75
2000-06-09,5.25
2000-06-28,5.25
2000-09-01,5.5
2000-10-06,5.75
2001-05-11,5.5
2001-08-31,5.25
2001-09-18,4.75
2001-11-09,4.25
2002-12-06,3.75
2003-03-07,3.5
2003-06-06,3
2005-12-06,3.25
2006-03-08,3.5
2006-06-15,3.75
2006-08-09,4
2006-10-11,4.25
2006-12-13,4.5
2007-03-14,4.75
2007-06-13,5
2008-07-09,5.25
2008-10-08,4.75
2008-10-09,4.25
2008-10-15,4.25
2008-11-12,3.75
2008-12-10,3
2009-01-21,3
2009-03-11,2.5
2009-04-08,2.25
2009-05-13,1.75
2011-04-13,2
2011-07-13,2.25
2011-11-09,2
2011-12-14,1.75
2012-07-11,1.5
2013-05-08,1
2013-11-13,0.75
2014-06-11,0.4
2014-09-10,0.3
2015-12-09,0.3
2016-03-16,0.25
2019-09-18,0.25
2022-07-27,0.75
2022-09-14,1.5
2022-11-02,2.25
2022-12-21,2.75
2023-02-08,3.25
2023-03-22,3.75
2023-05-10,4
2023-06-21,4.25
2023-08-02,4.5
2023-09-20,4.75
2024-06-12,4.5
2024-09-18,3.9
2024-10-23,3.65
2024-12-18,3.4
2025-02-05,3.15
2025-03-12,2.9
2025-04-23,2.65
2025-06-11,2.4
2026-06-17,2.65
