# IRS.M.DE.L.L40.CI.0000.EUR.N.Z UNIT=PC UNIT_MULT=0 n=139
TIME_PERIOD,OBS_VALUE
2015-01,0.39
2015-02,0.3
2015-03,0.23
2015-04,0.12
2015-05,0.56
2015-06,0.79
2015-07,0.71
2015-08,0.61
2015-09,0.65
2015-10,0.52
2015-11,0.52
2015-12,0.55
2016-01,0.43
2016-02,0.17
2016-03,0.17
2016-04,0.13
2016-05,0.13
2016-06,-0.02
2016-07,-0.15
2016-08,-0.13
2016-09,-0.09
2016-10,0
2016-11,0.19
2016-12,0.25
2017-01,0.25
2017-02,0.26
2017-03,0.35
2017-04,0.22
2017-05,0.34
2017-06,0.25
2017-07,0.46
2017-08,0.35
2017-09,0.35
2017-10,0.37
2017-11,0.31
2017-12,0.3
2018-01,0.47
2018-02,0.66
2018-03,0.53
2018-04,0.48
2018-05,0.45
2018-06,0.33
2018-07,0.28
2018-08,0.29
2018-09,0.37
2018-10,0.4
2018-11,0.31
2018-12,0.19
2019-01,0.13
2019-02,0.06
2019-03,0.01
2019-04,-0.04
2019-05,-0.13
2019-06,-0.31
2019-07,-0.39
2019-08,-0.65
2019-09,-0.59
2019-10,-0.47
2019-11,-0.35
2019-12,-0.3
2020-01,-0.31
2020-02,-0.47
2020-03,-0.54
2020-04,-0.45
2020-05,-0.516
2020-06,-0.434
2020-07,-0.523
2020-08,-0.522
2020-09,-0.524
2020-10,-0.607
2020-11,-0.614
2020-12,-0.618
2021-01,-0.583
2021-02,-0.446
2021-03,-0.364
2021-04,-0.325
2021-05,-0.223
2021-06,-0.288
2021-07,-0.45
2021-08,-0.539
2021-09,-0.363
2021-10,-0.206
2021-11,-0.312
2021-12,-0.383
2022-01,-0.115
2022-02,0.15
2022-03,0.282
2022-04,0.745
2022-05,0.953
2022-06,1.446
2022-07,1.082
2022-08,1.033
2022-09,1.796
2022-10,2.186
2022-11,2.066
2022-12,2.085
2023-01,2.192
2023-02,2.37
2023-03,2.383
2023-04,2.359
2023-05,2.341
2023-06,2.377
2023-07,2.457
2023-08,2.545
2023-09,2.66
2023-10,2.823
2023-11,2.602
2023-12,2.101
2024-01,2.175
2024-02,2.331
2024-03,2.349
2024-04,2.446
2024-05,2.518
2024-06,2.484
2024-07,2.458
2024-08,2.208
2024-09,2.166
2024-10,2.228
2024-11,2.305
2024-12,2.178
2025-01,2.484
2025-02,2.405
2025-03,2.741
2025-04,2.511
2025-05,2.562
2025-06,2.52
2025-07,2.631
2025-08,2.674
2025-09,2.693
2025-10,2.617
2025-11,2.657
2025-12,2.813
2026-01,2.807
2026-02,2.744
2026-03,2.91
2026-04,3
2026-05,3.045
2026-06,2.964
2026-07,3.07
