date,RUUW,MF6U,ANBV,J5II,JW2P
2016-04-30,815,70656,56477,-12180,5956
2016-05-31,6750,60260,51683,-7246,5451
2016-06-30,19670,62820,53552,-4876,4447
2016-07-31,2955,63414,61648,-721,4943
2016-08-31,3696,61702,54073,-7258,5434
2016-09-30,21960,65140,53541,-10806,3961
2016-10-31,-4143,62969,56638,-7966,5466
2016-11-30,9679,60194,52713,-6938,4780
2016-12-31,19176,62104,55557,-5305,3831
2017-01-31,-27859,65268,75098,8614,4622
2017-02-28,-3965,60979,61819,179,6148
2017-03-31,18227,65474,60584,-2675,1838
2017-04-30,-15492,73031,59316,-12624,7760
2017-05-31,9761,63682,54076,-7152,5136
2017-06-30,17702,67500,56096,-6458,5506
2017-07-31,-7247,64454,63402,-219,5458
2017-08-31,1005,61602,55682,-5450,4999
2017-09-30,19171,66999,55733,-9934,4252
2017-10-31,-6948,65677,60358,-8024,6648
2017-11-30,12209,62723,55653,-6529,4513
2017-12-31,18590,64356,58398,-4360,4833
2018-01-31,-27788,67680,72668,5815,4679
2018-02-28,-2094,64699,62164,-2578,6846
2018-03-31,19746,67849,62491,-1784,951
2018-04-30,-6142,72909,61381,-10036,6757
2018-05-31,7254,63173,56045,-4492,4033
2018-06-30,12959,65163,58682,-4103,5532
2018-07-31,-14012,68603,68805,2494,5168
2018-08-31,4375,65465,57657,-6986,5326
2018-09-30,14983,67981,57562,-8881,3585
2018-10-31,-3698,69959,61658,-9259,7681
2018-11-30,6631,64509,57403,-5794,3665
2018-12-31,18163,66843,60186,-5433,4585
2019-01-31,-25879,69463,79059,10270,4259
2019-02-28,-1770,65326,63651,-2125,5300
2019-03-31,21950,70240,67363,19,447
2019-04-30,-6897,75760,62238,-11142,6877
2019-05-31,16267,66118,58029,-4674,3793
2019-06-30,13620,69409,59711,-6791,7894
2019-07-31,-10299,71864,68247,1151,5004
2019-08-31,5717,65874,59769,-4891,4348
2019-09-30,14824,71646,60165,-8708,2941
2019-10-31,176,72095,60997,-11255,7116
2019-11-30,9155,64269,57584,-5450,2717
2019-12-31,15665,68916,60902,-6050,3350
2020-01-31,-20422,73523,80096,8200,4631
2020-02-29,-2460,66538,63754,-1931,4865
2020-03-31,20730,80512,65328,-6846,1649
2020-04-30,63755,111178,52663,-49007,5570
2020-05-31,62961,102339,49125,-51127,3772
2020-06-30,47084,87140,51930,-32165,3005
2020-07-31,25127,86591,60432,-21844,2558
2020-08-31,21662,82591,56756,-24021,3671
2020-09-30,25133,87747,56188,-27984,5051
2020-10-31,14383,79072,62162,-17914,2087
2020-11-30,23848,84991,58729,-21416,4310
2020-12-31,33385,88452,62068,-23929,2861
2021-01-31,-10808,87736,83031,-1250,1802
2021-02-28,6329,81123,65150,-15478,5582
2021-03-31,25124,102799,66792,-24842,2009
2021-04-30,30511,94591,60231,-23521,4912
2021-05-31,23825,84914,61118,-17130,4511
2021-06-30,19264,85226,62156,-18721,9120
2021-07-31,1817,82315,72868,-4300,3722
2021-08-31,8447,81400,64329,-13896,6629
2021-09-30,14535,86504,64967,-16781,5082
2021-10-31,2530,77958,71583,-8015,6044
2021-11-30,13026,76750,66674,-7361,4891
2021-12-31,17933,85032,71336,-9827,8642
2022-01-31,-23261,86376,95122,11959,6612
2022-02-28,1525,81312,73147,-7095,8669
2022-03-31,18646,99787,79200,-5532,3869
2022-04-30,2419,89617,72775,-13432,7451
2022-05-31,11533,82138,69922,-8732,8945
2022-06-30,12300,94496,72009,-18871,21180
2022-07-31,-1697,86860,82036,-605,7399
2022-08-31,4887,83772,73890,-7869,10090
2022-09-30,13714,91992,74601,-15353,9668
2022-10-31,8590,89848,74752,-11094,8293
2022-11-30,25554,90383,74342,-15564,10092
2022-12-31,23137,104391,77023,-15943,20263
2023-01-31,-20898,103326,107460,8613,9582
2023-02-28,6764,89189,79192,-10935,10105
2023-03-31,25059,109071,84917,-17588,7306
2023-04-30,18635,109581,75362,-19991,13248
2023-05-31,16907,92444,75710,-15373,11702
2023-06-30,19955,100149,78416,-19086,16979
2023-07-31,9905,107203,88831,-2705,12077
2023-08-31,5989,87613,77197,-11451,9942
2023-09-30,15032,91559,77117,-15459,4889
2023-10-31,18082,104752,78262,-16470,12519
2023-11-30,17289,91875,78325,-15005,11435
2023-12-31,18543,91044,83051,-8113,8269
2024-01-31,-19623,105574,109094,14295,8271
2024-02-29,8510,93074,83777,-11368,11177
2024-03-31,28175,109221,90482,-14354,6747
2024-04-30,18343,113353,77724,-19353,13197
2024-05-31,24550,96173,77151,-17521,12020
2024-06-30,14448,97804,81063,-14608,11711
2024-07-31,29049,111113,91178,-3956,10601
2024-08-31,11027,93040,79878,-14867,9954
2024-09-30,13226,97171,79272,-18773,9279
2024-10-31,19725,108919,80420,-19372,12747
2024-11-30,16307,93704,80736,-13531,6806
2024-12-31,19392,105580,86241,-18667,12112
2025-01-31,-15250,108118,117069,14672,9792
2025-02-28,8415,97764,86908,-11936,10577
2025-03-31,20998,115733,96577,-13763,7696
2025-04-30,15705,113491,83098,-19642,12422
2025-05-31,23944,101525,82016,-17978,10603
2025-06-30,15583,112157,85271,-24003,20044
2025-07-31,5871,108931,99792,-1067,9921
2025-08-31,11028,102579,86378,-14939,11086
2025-09-30,15767,109352,85512,-22190,12146
2025-10-31,21581,112093,86820,-15790,11157
2025-11-30,13477,97442,87439,-9544,5874
2025-12-31,14425,106741,92975,-12576,11671
2026-01-31,-39917,104911,133654,32289,4073
2026-02-28,9275,108773,96203,-12428,15531
2026-03-31,27879,120612,102411,-11955,5777
2026-04-30,15441,121717,85844,-23127,12398
2026-05-31,25206,110822,88441,-18985,14347
2026-06-30,19080,111831,94124,-12784,14352
2026-07-31,2723,115570,104343,-1800,10268
