date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2023-04-14,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-04-21,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-04-28,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-05-05,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-05-12,0.5,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2023-05-19,0.5,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2023-05-26,0.5,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2023-06-02,0.5,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2023-06-09,0.5,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2023-06-16,0.5,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2023-06-23,-0.5,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2023-06-30,-0.5,DRAIN,-0.5,DRAIN,LIQUIDITY_DRAIN
2023-07-07,-0.5,DRAIN,-0.5,DRAIN,LIQUIDITY_DRAIN
2023-07-14,-0.5,DRAIN,0.0,DRAIN,LIQUIDITY_DRAIN
2023-07-21,-0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-07-28,-0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-08-04,-0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-08-11,-0.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2023-08-18,-0.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2023-08-25,-0.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2023-09-01,-0.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2023-09-08,-0.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2023-09-15,-0.5,DRAIN,0.0,INJECTION,NEUTRAL_CONFLICT
2023-09-22,-0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-09-29,-0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-06,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-13,1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-20,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-10-27,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-11-03,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-11-10,1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-11-17,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-11-24,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-12-01,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-12-08,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-12-15,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-12-22,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2023-12-29,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-01-05,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-01-12,1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-01-19,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-01-26,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-02-02,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-02-09,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-02-16,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-02-23,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-01,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-08,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-15,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-22,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-29,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-05,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-12,1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-19,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-26,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-03,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-10,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-17,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-24,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-31,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-06-07,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-06-14,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2024-06-21,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2024-06-28,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2024-07-05,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2024-07-12,0.0,NEUTRAL,0.5,NEUTRAL,NEUTRAL_PARTIAL
2024-07-19,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2024-07-26,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2024-08-02,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2024-08-09,1.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2024-08-16,1.0,INJECTION,0.0,INJECTION,LIQUIDITY_INJECTION
2024-08-23,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-08-30,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-06,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-13,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-20,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-27,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-04,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-11,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-18,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-25,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-01,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-08,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-15,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-22,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-29,1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-12-06,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-12-13,-1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-12-20,-1.0,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-12-27,-1.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-01-03,-1.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-01-10,-1.0,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-01-17,0.0,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-01-24,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-01-31,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-02-07,-1.0,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-02-14,-1.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2025-02-21,-1.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2025-02-28,-1.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2025-03-07,-0.5,DRAIN,0.5,INJECTION,NEUTRAL_CONFLICT
2025-03-14,0.0,NEUTRAL,-0.5,NEUTRAL,NEUTRAL_PARTIAL
2025-03-21,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2025-03-28,1.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2025-04-04,1.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2025-04-11,1.0,INJECTION,0.0,DRAIN,NEUTRAL_CONFLICT
2025-04-18,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-04-25,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-05-02,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-05-09,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-05-16,1.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2025-05-23,1.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2025-05-30,1.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2025-06-06,0.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2025-06-13,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2025-06-20,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2025-06-27,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2025-07-04,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2025-07-11,-0.5,NEUTRAL,0.0,DRAIN,NEUTRAL_PARTIAL
2025-07-18,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-07-25,0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-08-01,-0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-08-08,-0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-08-15,1.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2025-08-22,1.0,INJECTION,0.5,INJECTION,LIQUIDITY_INJECTION
2025-08-29,1.0,INJECTION,0.5,INJECTION,LIQUIDITY_INJECTION
2025-09-05,1.0,INJECTION,0.5,INJECTION,LIQUIDITY_INJECTION
2025-09-12,1.0,INJECTION,0.0,INJECTION,LIQUIDITY_INJECTION
2025-09-19,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-09-26,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-10-03,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-10-10,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-10-17,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-10-24,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-10-31,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-11-07,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-11-14,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2025-11-21,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2025-11-28,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2025-12-05,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2025-12-12,0.0,NEUTRAL,0.0,INJECTION,NEUTRAL_PARTIAL
2025-12-19,-1.0,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2025-12-26,-1.0,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-01-02,-1.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-01-09,-1.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-01-16,0.0,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-01-23,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-01-30,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-02-06,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-02-13,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-02-20,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-02-27,1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-03-06,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-03-13,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-03-20,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-03-27,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-04-03,1.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-04-10,1.0,INJECTION,0.0,DRAIN,NEUTRAL_CONFLICT
2026-04-17,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-04-24,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-05-01,0.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-05-08,1.0,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-05-15,1.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2026-05-22,0.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2026-05-29,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-06-05,1.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-06-12,0.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-06-19,1.0,NEUTRAL,-0.5,DRAIN,NEUTRAL_PARTIAL
2026-06-26,1.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2026-07-03,1.0,INJECTION,-0.5,DRAIN,NEUTRAL_CONFLICT
2026-07-10,1.0,INJECTION,0.0,DRAIN,NEUTRAL_CONFLICT
2026-07-17,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-07-24,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-07-31,1.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-08-07,0.0,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2026-08-14,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2026-08-21,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2026-08-28,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
2026-09-04,0.0,NEUTRAL,0.5,INJECTION,NEUTRAL_PARTIAL
